"datetime","nist_c","thermo_c","bath"
2026-05-01 15:43:00,40.1,NA,"hot"
2026-05-01 15:44:00,40.6,NA,"hot"
2026-05-01 15:45:00,41.1,NA,"hot"
2026-05-01 15:46:00,41.7,NA,"hot"
2026-05-01 15:47:00,39.3,NA,"hot"
2026-05-01 15:48:00,40.4,NA,"hot"
2026-05-01 15:49:00,41.5,NA,"hot"
2026-05-01 15:50:00,42.1,NA,"hot"
2026-05-01 15:51:00,42.1,NA,"hot"
2026-05-01 15:52:00,42.2,NA,"hot"
2026-05-01 15:53:00,42.3,NA,"hot"
2026-05-01 15:54:00,42.4,NA,"hot"
2026-05-01 15:56:00,42.4,NA,"hot"
2026-05-01 15:57:00,42.5,NA,"hot"
2026-05-01 15:58:00,42.4,NA,"hot"
2026-05-01 15:59:00,42.3,NA,"hot"
2026-05-01 16:00:00,42.3,NA,"hot"
2026-05-01 16:01:00,42.3,NA,"hot"
2026-05-01 16:02:00,42.2,NA,"hot"
2026-05-01 16:03:00,42.1,NA,"hot"
2026-05-01 16:04:00,42.1,NA,"hot"
2026-05-01 16:05:00,42,NA,"hot"
2026-05-01 16:06:00,41.9,NA,"hot"
2026-05-01 16:07:00,41.8,NA,"hot"
2026-05-01 16:08:00,41.7,NA,"hot"
2026-05-01 16:09:00,41.7,NA,"hot"
2026-05-01 16:10:00,41.8,NA,"hot"
2026-05-01 16:11:00,41.9,NA,"hot"
2026-05-01 16:12:00,42.1,NA,"hot"
2026-05-01 16:13:00,42,NA,"hot"
2026-05-01 16:21:00,42.2,NA,"hot"
2026-05-01 16:25:00,41.6,41.4,"hot"
2026-05-01 16:26:00,41.4,41.3,"hot"
2026-05-01 16:27:00,41.3,41.3,"hot"
2026-05-01 16:28:00,41.2,41.2,"hot"
2026-05-01 16:29:00,41.1,41.2,"hot"
2026-05-01 16:30:00,40.9,41.1,"hot"
2026-05-01 16:56:00,0.1,0.3,"ice"
2026-05-01 16:57:00,0.1,0.3,"ice"
2026-05-01 16:58:00,0.1,0.3,"ice"
2026-05-01 16:59:00,0,0.2,"ice"
2026-05-01 17:00:00,0,0.2,"ice"
2026-05-01 17:01:00,0,0.2,"ice"
2026-05-01 17:02:00,0,0.1,"ice"
2026-05-01 17:03:00,0,0.2,"ice"
2026-05-01 17:04:00,0,0.2,"ice"
2026-05-01 17:05:00,0,0.2,"ice"
2026-05-01 17:06:00,0,0.2,"ice"
2026-05-01 17:07:00,0,0.2,"ice"
2026-05-01 17:08:00,0,0.2,"ice"
2026-05-01 17:09:00,0,0.2,"ice"
2026-05-01 17:10:00,0,0.2,"ice"
2026-05-01 17:11:00,0,0.2,"ice"
