"sensor_type","sensor_model","sensor_id","slope","intercept","has_both_baths","hot_n","hot_mean_temp","hot_nist_c","ice_n","ice_mean_temp","ice_nist_c","calib_date"
"HOBO","HOBO","20545519_ch1",1.03338757175723,-0.542887399131281,TRUE,19,41.2651444284539,42.1,15,0.543491536458333,0.01875,2026-05-01
"HOBO","HOBO","20545519_ch2",1.04547996513497,-0.657103109935374,TRUE,19,40.8971042351974,42.1,15,0.646452473958333,0.01875,2026-05-01
"HOBO","HOBO","20793679_ch1",1.051868347188,-0.664241266183507,TRUE,19,40.6555072985197,42.1,15,0.649312500000001,0.01875,2026-05-01
"HOBO","HOBO","20793679_ch2",1.04753667015347,-0.928071066044352,TRUE,19,41.0754795435855,42.1,15,0.903854817708331,0.01875,2026-05-01
"HOBO","HOBO","20793680_ch1",1.06034237276529,-0.915384707650659,TRUE,19,40.5674486019737,42.1,15,0.880974609374998,0.01875,2026-05-01
"HOBO","HOBO","20793680_ch2",1.0529499293303,-0.83659701144026,TRUE,19,40.7774347245066,42.1,15,0.812333984375,0.01875,2026-05-01
"HOBO","HOBO","20793684_ch1",1.02070054946962,-0.873345644361797,TRUE,20,42.1018149414062,42.1,16,0.874003295898437,0.01875,2026-05-01
"HOBO","HOBO","20793684_ch2",1.01863362986324,-0.84968925950101,TRUE,20,42.1640205078125,42.1,16,0.852553100585937,0.01875,2026-05-01
"HOBO","HOBO","20793690_ch1",1.04366504482605,-0.476835297792852,TRUE,19,40.795498046875,42.1,15,0.474850911458333,0.01875,2026-05-01
"HOBO","HOBO","20793690_ch2",1.07099754904567,-0.624589721090578,TRUE,19,39.8923319284539,42.1,15,0.600692057291667,0.01875,2026-05-01
"HOBO","HOBO","20793692_ch1",1.05059153928355,-0.251765693724778,TRUE,38,40.3123041735197,42.1,30,0.257488932291665,0.01875,2026-05-01
"HOBO","HOBO","20793692_ch2",1.02257689214955,-0.858717505788113,TRUE,38,42.0102564761513,42.1,30,0.858094401041666,0.01875,2026-05-01
"HOBO","HOBO","20793695_ch1",1.06884369546857,-0.886191107456218,TRUE,19,40.2174717310855,42.1,15,0.846654296874999,0.01875,2026-05-01
"HOBO","HOBO","20793695_ch2",1.02782153173155,-0.819123956444842,TRUE,19,41.7573699629934,42.1,15,0.815194010416667,0.01875,2026-05-01
"HOBO","HOBO","21658972_ch1",0.967717859892537,-0.321760681752498,TRUE,19,43.8369099506579,42.1,15,0.351869791666665,0.01875,2026-05-01
"HOBO","HOBO","21658972_ch2",1.024976374492,-0.582287871453254,TRUE,19,41.6422162828947,42.1,15,0.586391927083334,0.01875,2026-05-01
"Thermocouple","Thermocouple","thermocouple",1.00472129150168,-0.194753274444106,TRUE,6,41.25,41.25,16,0.2125,0.01875,2026-05-01
"iButton","DS1925","51000000103BEA53",0.961857142857143,0.01875,TRUE,4,43.75,42.1,3,0,0.01875,2026-05-01
"iButton","DS1921G-F5","6100000056A15621",0.967385057471264,0.01875,TRUE,4,43.5,42.1,3,0,0.01875,2026-05-01
"iButton","DS1921G-F5","65000000568B8121",0.967385057471264,0.01875,TRUE,4,43.5,42.1,3,0,0.01875,2026-05-01
"iButton","DS1921G-F5","97000000568C9A21",0.98820939334638,-0.14595156555773,TRUE,4,42.75,42.1,3,0.166666666666667,0.01875,2026-05-01
"iButton","DS1925","9A000000107AC953",0.937743732590529,0.01875,TRUE,4,44.875,42.1,3,0,0.01875,2026-05-01
"iButton","DS1921G-F5","DE00000055E26A21",0.959116809116809,-0.460808404558405,TRUE,4,44.375,42.1,3,0.5,0.01875,2026-05-01
