"sensor_type","sensor_model","sensor_id","bath","n","mean_temp","sd_temp","nist_c","offset_c"
"HOBO","HOBO","20545519_ch1","hot",19,41.2651444284539,0.317666918907235,42.1,-0.834855571546058
"HOBO","HOBO","20545519_ch1","ice",15,0.543491536458333,0.115189935962662,0.01875,0.524741536458333
"HOBO","HOBO","20545519_ch2","hot",19,40.8971042351974,0.140265636604046,42.1,-1.20289576480263
"HOBO","HOBO","20545519_ch2","ice",15,0.646452473958333,0.103656570102644,0.01875,0.627702473958333
"HOBO","HOBO","20793679_ch1","hot",19,40.6555072985197,0.21537824137934,42.1,-1.44449270148026
"HOBO","HOBO","20793679_ch1","ice",15,0.649312500000001,0.0332304996872838,0.01875,0.630562500000001
"HOBO","HOBO","20793679_ch2","hot",19,41.0754795435855,0.282899957347788,42.1,-1.02452045641448
"HOBO","HOBO","20793679_ch2","ice",15,0.903854817708331,0.102380486535229,0.01875,0.885104817708331
"HOBO","HOBO","20793680_ch1","hot",19,40.5674486019737,0.148647519376911,42.1,-1.53255139802632
"HOBO","HOBO","20793680_ch1","ice",15,0.880974609374998,0.108530357508746,0.01875,0.862224609374998
"HOBO","HOBO","20793680_ch2","hot",19,40.7774347245066,0.186075297439744,42.1,-1.32256527549342
"HOBO","HOBO","20793680_ch2","ice",15,0.812333984375,0.107556971411308,0.01875,0.793583984375
"HOBO","HOBO","20793684_ch1","hot",20,42.1018149414062,0.332151926422302,42.1,0.00181494140624494
"HOBO","HOBO","20793684_ch1","ice",16,0.874003295898437,0.112928029564889,0.01875,0.855253295898436
"HOBO","HOBO","20793684_ch2","hot",20,42.1640205078125,0.355104830247667,42.1,0.0640205078124936
"HOBO","HOBO","20793684_ch2","ice",16,0.852553100585937,0.0892613394498802,0.01875,0.833803100585937
"HOBO","HOBO","20793690_ch1","hot",19,40.795498046875,0.293762406576423,42.1,-1.304501953125
"HOBO","HOBO","20793690_ch1","ice",15,0.474850911458333,0.0318845721634866,0.01875,0.456100911458333
"HOBO","HOBO","20793690_ch2","hot",19,39.8923319284539,0.285456419774303,42.1,-2.20766807154606
"HOBO","HOBO","20793690_ch2","ice",15,0.600692057291667,0.0785485059452177,0.01875,0.581942057291667
"HOBO","HOBO","20793692_ch1","hot",38,40.3123041735197,0.201389733996931,42.1,-1.78769582648027
"HOBO","HOBO","20793692_ch1","ice",30,0.257488932291665,0.0250234667028329,0.01875,0.238738932291665
"HOBO","HOBO","20793692_ch2","hot",38,42.0102564761513,0.656030337966502,42.1,-0.0897435238486892
"HOBO","HOBO","20793692_ch2","ice",30,0.858094401041666,0.122865242172104,0.01875,0.839344401041666
"HOBO","HOBO","20793695_ch1","hot",19,40.2174717310855,0.288270344862267,42.1,-1.88252826891448
"HOBO","HOBO","20793695_ch1","ice",15,0.846654296874999,0.0542651787543713,0.01875,0.827904296874999
"HOBO","HOBO","20793695_ch2","hot",19,41.7573699629934,0.746394989984628,42.1,-0.342630037006586
"HOBO","HOBO","20793695_ch2","ice",15,0.815194010416667,0.121845165520038,0.01875,0.796444010416666
"HOBO","HOBO","21658972_ch1","hot",19,43.8369099506579,0.78140689409235,42.1,1.73690995065789
"HOBO","HOBO","21658972_ch1","ice",15,0.351869791666665,0.0549073925731186,0.01875,0.333119791666665
"HOBO","HOBO","21658972_ch2","hot",19,41.6422162828947,0.274637753530263,42.1,-0.457783717105265
"HOBO","HOBO","21658972_ch2","ice",15,0.586391927083334,0.0595034685013105,0.01875,0.567641927083333
"Thermocouple","Thermocouple","thermocouple","hot",6,41.25,0.104880884817013,41.25,0
"Thermocouple","Thermocouple","thermocouple","ice",16,0.2125,0.05,0.01875,0.19375
"iButton","DS1925","51000000103BEA53","hot",4,43.75,0.645497224367903,42.1,1.65
"iButton","DS1925","51000000103BEA53","ice",3,0,0,0.01875,-0.01875
"iButton","DS1921G-F5","6100000056A15621","hot",4,43.5,0.408248290463863,42.1,1.4
"iButton","DS1921G-F5","6100000056A15621","ice",3,0,0,0.01875,-0.01875
"iButton","DS1921G-F5","65000000568B8121","hot",4,43.5,0.707106781186548,42.1,1.4
"iButton","DS1921G-F5","65000000568B8121","ice",3,0,0,0.01875,-0.01875
"iButton","DS1921G-F5","97000000568C9A21","hot",4,42.75,0.645497224367903,42.1,0.649999999999999
"iButton","DS1921G-F5","97000000568C9A21","ice",3,0.166666666666667,0.288675134594813,0.01875,0.147916666666667
"iButton","DS1925","9A000000107AC953","hot",4,44.875,1.10867789130417,42.1,2.775
"iButton","DS1925","9A000000107AC953","ice",3,0,0,0.01875,-0.01875
"iButton","DS1921G-F5","DE00000055E26A21","hot",4,44.375,0.75,42.1,2.275
"iButton","DS1921G-F5","DE00000055E26A21","ice",3,0.5,0,0.01875,0.48125
