"sensor_id","sensor_model","datetime","temp_c","roof_colour","trap_style","trap_id"
"2500000010027C53","DS1925",2026-05-05 15:00:56,23,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 15:05:56,23,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 15:10:56,23,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 15:15:56,22.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 15:20:56,22.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 15:25:56,22,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 15:30:56,22,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 15:35:56,21.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 15:40:56,21.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 15:45:56,21,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 15:50:56,21,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 15:55:56,20.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 16:00:56,20.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 16:05:56,20.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 16:10:56,20.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 16:15:56,20,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 16:20:56,20,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 16:25:56,20,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 16:30:56,20,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 16:35:56,20,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 16:40:56,20,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 16:45:56,20,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 16:50:56,20,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 16:55:56,20,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 17:00:56,19.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 17:05:56,19.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 17:10:56,19.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 17:15:56,19.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 17:20:56,19,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 17:25:56,19,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 17:30:56,19,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 17:35:56,19,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 17:40:56,18.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 17:45:56,18.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 17:50:56,18.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 17:55:56,18,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 18:00:56,18,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 18:05:56,18,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 18:10:56,17.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 18:15:56,17.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 18:20:56,17,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 18:25:56,17,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 18:30:56,17,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 18:35:56,16.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 18:40:56,16,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 18:45:56,16,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 18:50:56,15.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 18:55:56,15.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 19:00:56,15,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 19:05:56,15,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 19:10:56,15,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 19:15:56,15,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 19:20:56,15,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 19:25:56,14.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 19:30:56,14.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 19:35:56,14.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 19:40:56,14.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 19:45:56,14.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 19:50:56,14,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 19:55:56,14,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 20:00:56,14,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 20:05:56,14,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 20:10:56,14,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 20:15:56,14,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 20:20:56,13.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 20:25:56,13.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 20:30:56,13.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 20:35:56,13.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 20:40:56,13.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 20:45:56,13,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 20:50:56,13,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 20:55:56,13,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 21:00:56,13,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 21:05:56,13,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 21:10:56,13,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 21:15:56,12.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 21:20:56,12.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 21:25:56,12.5,"w","r","pilot1"
"2500000010027C53","DS1925",2026-05-05 21:30:56,12.5,"w","r","pilot1"
